Date,Adj Close,High,Low,Open,Volume,Return,SMA_10,SMA_30,RSI,Volatility
2018-02-13,38.644004821777344,41.1875,40.41249847412109,40.48749923706055,130196800,0.0100174270308512,37.83020782470703,39.82846997578939,39.635429498234366,0.0212350410556374
2018-02-14,39.35650634765625,41.8849983215332,40.720001220703125,40.7599983215332,162579600,0.0184375695315457,37.84478416442871,39.795624033610025,46.5538265297692,0.0213323746720028
2018-02-15,40.67802810668945,43.272499084472656,42.25,42.4474983215332,204588800,0.0335782283965837,37.98331718444824,39.8070629119873,52.2027022634009,0.0228418952648455
2018-02-16,40.54634094238281,43.70500183105469,42.942501068115234,43.09000015258789,160704400,-0.0032373045212824,38.279171752929685,39.8078670501709,55.54838484250249,0.0228346871922605
2018-02-20,40.40996551513672,43.56499862670898,42.85499954223633,43.01250076293945,135722000,-0.0033634459750606,38.65529899597168,39.78874689737956,56.03844589311937,0.0227832583501376
2018-02-21,40.2265510559082,43.52999877929688,42.75249862670898,43.20750045776367,149886400,-0.0045388422605758,38.8599235534668,39.76858673095703,54.6606645290469,0.0227943827526772
2018-02-22,40.56280517578125,43.48749923706055,42.9275016784668,42.95000076293945,123967600,0.0083590094364716,39.179907608032224,39.759791437784834,55.69454027008749,0.0226183207438976
2018-02-23,41.26824188232422,43.91249847412109,43.3849983215332,43.41749954223633,135249600,0.0173912209346942,39.67324638366699,39.77482337951661,68.12580055977656,0.0225311735569233
2018-02-26,42.08420944213867,44.84749984741211,44.0525016784668,44.087501525878906,152648800,0.0197722879046113,40.20373840332032,39.809325536092125,77.09798641380831,0.0228910570353455
2018-02-27,41.94781875610352,45.119998931884766,44.540000915527344,44.775001525878906,155712400,-0.0032408993264485,40.57244720458984,39.82515131632487,71.81750744789572,0.022281248651857
2018-02-28,41.88432312011719,45.15499877929688,44.51250076293945,44.81499862670898,151128400,-0.0015136814706747,40.89647903442383,39.84588673909505,78.68770800304969,0.0222058942974062
2018-03-01,41.150672912597656,44.94499969482422,43.165000915527344,44.6349983215332,195208000,-0.0175161051407121,41.07589569091797,39.81945037841797,81.74213410145109,0.0227070897260799
2018-03-02,41.43520736694336,44.07500076293945,43.11249923706055,43.20000076293945,153816000,0.006914454471985,41.15161361694336,39.80124931335449,81.34899291969299,0.0227263111994667
2018-03-05,41.5786361694336,44.435001373291016,43.630001068115234,43.8025016784668,113605600,0.0034615200841172,41.25484313964844,39.79407437642416,77.24985353229968,0.0199482681933806
2018-03-06,41.54335403442383,44.5625,44.032501220703125,44.477500915527344,95154000,-0.0008485640285553,41.368181991577146,39.79712142944336,75.25591633099414,0.0187151720286831
2018-03-07,41.15772247314453,43.962501525878906,43.567501068115234,43.73500061035156,126814000,-0.0092826294419982,41.461299133300784,39.78700141906738,66.63765570780627,0.0170497807174498
2018-03-08,41.60685348510742,44.27999877929688,43.76750183105469,43.869998931884766,95096400,0.0109124359895265,41.5657039642334,39.813866424560544,60.2278226212959,0.0160259026931353
2018-03-09,42.32169723510742,45.0,44.34749984741211,44.4900016784668,128740800,0.0171809134823393,41.67104949951172,39.88883717854818,67.32448221872964,0.0141883444601311
