Date,Adj Close,Close,High,Low,Open,Volume,Return,SMA_10,SMA_30,RSI,Volatility,MACD_Signal,BB_Position,Momentum,Trend,Vol_Regime,ML_Signal
2018-02-13,-1.2696720539206348,-1.2663886381632123,-1.2728273488182744,-1.2713079718568518,-1.278036769635507,0.2653430938827118,0.4165047282725304,-1.2795748920459737,-1.2191683361742063,-0.9571592713578424,0.21707473038991118,-1.047894380509534,-0.5773663432248807,-0.3878119142547979,-1.4420452120624097,-0.9319839929662305,1.7157806153933646
2018-02-14,-1.2540861760687605,-1.2499392082755307,-1.2578701432662858,-1.2645397487207939,-1.2721187539486385,0.8632187480737608,0.8144192592599617,-1.2792561813949412,-1.2198868727646643,-0.5561267045150594,0.22790931293160624,0.9535187996561909,-0.2093319834054664,-0.13430700157241854,-1.414619218768724,-0.9319839929662305,1.8739524578354931
2018-02-15,-1.2251775466265153,-1.2194289759680703,-1.2281164743696955,-1.2308640393124066,-1.2354703685387682,1.6388242526021712,1.5300489737146525,-1.2762272530778564,-1.2196366335784552,-0.22868335248581342,0.39594787067791365,0.9535187996561909,0.4637056831440863,0.38299483844694215,-1.3381567030141994,-0.9319839929662305,0.5459144571393159
2018-02-16,-1.2280582612097592,-1.2224692054357136,-1.2188418535100967,-1.215621893337909,-1.2215167953648187,0.8285973927018023,-0.21001585157324926,-1.2697585271883811,-1.2196190340024216,-0.034750331468055416,0.39514578423833496,0.9535187996561909,0.46870892529461705,1.095731127210941,-1.1614074974446207,-0.9319839929662305,0.8010524391178403
2018-02-20,-1.2310415452356724,-1.2256178695610813,-1.2218440925703038,-1.2175478268733873,-1.2231998931431096,0.36735349954671814,-0.21597852330240555,-1.261534655332056,-1.2200373225496635,-0.00634404555061167,0.38942150238509665,0.9535187996561909,0.45778802586589407,1.4880769437412242,-0.924990195287092,-0.9319839929662305,0.815457099684068
2018-02-21,-1.2350536976612607,-1.2298523713437846,-1.2225946318846925,-1.2198039012520732,-1.2189649752345317,0.6288673252882752,-0.2715263710751195,-1.2570606093050563,-1.220478350495334,-0.08620436117442704,0.39065977691213283,0.9535187996561909,0.43267227785645357,0.6837808452727973,-0.7905608422970113,-0.9319839929662305,1.3259405399991997
2018-02-22,-1.2276983493787637,-1.2220891456880896,-1.223505995209119,-1.2159520341811167,-1.2245572407508825,0.15033490975141736,0.3380620978240788,-1.2500643444895871,-1.2206707708560542,-0.026281261350283948,0.37105975384025386,0.9535187996561909,0.6384097833886279,1.2094180016897724,-0.593513954309803,-0.9319839929662305,1.7526754757784722
2018-02-23,-1.2122662421652888,-1.2058025748814518,-1.2143922801622071,-1.205882402612981,-1.214404307155436,0.3586316947911117,0.7650067545006982,-1.239277713743121,-1.2203419308105774,0.6943241918993759,0.3613594763185773,0.9535187996561909,0.9406171773083836,2.031722190977429,-0.3066513438387066,-0.9319839929662305,0.685196167670017
2018-02-26,-1.1944168204238874,-1.1869644346880848,-1.1943420416168808,-1.1911904633896382,-1.1998534977202298,0.6798688355695773,0.8775153139617888,-1.2276787615442566,-1.2195871509546186,1.2144137851863626,0.4014208339411462,0.9535187996561909,1.1937807749797629,2.1704962020467,-0.00952523842253112,-0.9319839929662305,-1.3045727282532658
2018-02-27,-1.1974008561802434,-1.1901131816512354,-1.1884985511118042,-1.1804604661725122,-1.184922674034727,0.7364313272064864,-0.21020779115116955,-1.2196171085338088,-1.219240953567425,0.9083135759329299,0.3335403272931226,0.9535187996561909,0.9674318628067843,1.3853463425593566,0.20165705076867455,-0.9319839929662305,-0.7466030697013718
2018-02-28,-1.1987895528853092,-1.1915789962184118,-1.1877480117974148,-1.1810657523725847,-1.184054034528654,0.6517980651410761,-0.12853385355656,-1.2125323417377343,-1.2187873517117134,1.3065530932222487,0.32515161773608825,0.9535187996561909,0.8121748781155542,1.1800323674840365,0.38291649826405927,-0.9319839929662305,-0.5691078675619715
2018-03-01,-1.214838329638872,-1.2085170033492247,-1.1922512476837501,-1.2107246082509862,-1.187963202266714,1.4656288545255567,-0.8848928037499284,-1.2086094858121887,-1.2193656791817271,1.4836071852550274,0.3809439918366292,0.9535187996561909,0.4340741074659013,0.5524476001350246,0.5065982843229081,-0.9319839929662305,0.3180590583024025
2018-03-02,-1.2086141686219054,-1.2019480500085897,-1.2109075690718893,-1.211880185164788,-1.2191278503197907,0.701418561460229,0.2697966443344473,-1.2069539619691543,-1.2197638400062754,1.4608169569634069,0.3830836646306542,0.9535187996561909,0.48878985154597737,0.11002341126546462,0.5632060105492152,-0.9319839929662305,0.496231128621281
2018-03-05,-1.2054764457527547,-1.1986364439643953,-1.2031876893795144,-1.200489822298672,-1.2060429994978374,-0.04097614206397999,0.10661070239970571,-1.2046968901388988,-1.2199207967061916,1.2232112415739165,0.07382859869189562,0.9535187996561909,0.46913269071047425,0.22231040345742886,0.6295041590681484,-0.9319839929662305,0.39262123499610935
2018-03-06,-1.2062481388153137,-1.199450822207397,-1.200453599406236,-1.1916306791681066,-1.191383661903074,-0.3816434846307611,-0.09710636751654639,-1.2022187678942988,-1.2198541432889047,1.1076261544181392,-0.0634422815940713,0.9535187996561909,0.39120120040019846,0.2647553770543103,0.6955175031689584,-0.9319839929662305,-0.10948422545897794
2018-03-07,-1.2146838907956345,-1.208354144268181,-1.213320011025094,-1.2018654651204208,-1.207508958111091,0.20288729132711192,-0.4957411009026822,-1.2001827882206677,-1.2200755315327216,0.6080621985171195,-0.24883455824565878,0.9535187996561909,0.1642638067268589,0.18439956799773566,0.75762610936918,-0.9319839929662305,1.2502822288937279
2018-03-08,-1.204859024482224,-1.1979850076402203,-1.2065115764597951,-1.1974633912983097,-1.2045771237305074,-0.3827069392326301,0.45876460035711386,-1.1978999781009865,-1.2194878265319244,0.23650901496034588,-0.36280907341912333,0.9535187996561909,0.30477297582065277,0.22690105986387787,0.8033875917316197,-0.9319839929662305,0.5794331402045269
2018-03-09,-1.1892216948578054,-1.1814813190047853,-1.1910718170750458,-1.1846974695730195,-1.1911121758123349,0.23846132477991133,0.7550365572977823,-1.195596655825249,-1.2178477442879223,0.6478751484260378,-0.5673656833095145,0.9535187996561909,0.6373500304765833,0.223412734666279,0.8195720171373294,-0.9319839929662305,0.7624913739537441
2018-03-12,-1.1802712581008326,-1.1720350781153335,-1.1782589861919834,-1.169180178241657,-1.1784617690123032,0.2400786619869205,0.3999375172675334,-1.194182794734086,-1.215977609050757,0.890100148914695,-0.5708253949080531,0.9535187996561909,0.9155466554931078,0.056744686383176667,0.8048734805529839,-0.9319839929662305,0.5432845668986497
2018-03-13,-1.189273063104745,-1.1815355777525387,-1.1723082524126653,-1.1745176791070484,-1.1659741544516071,0.2021487811869251,-0.5121702959169904,-1.1933704148424966,-1.2138013007746788,0.7220192191014378,-0.7680287695017012,0.9535187996561909,0.613442255823737,-0.050000857125458,0.7651803628202855,-0.9319839929662305,0.5130267867461932
