Date,Adj Close,Close,High,Low,Open,Volume,Return,SMA_10,SMA_30,RSI,Volatility,MACD_Signal,BB_Position,Momentum,Trend,Vol_Regime,ML_Signal
2018-02-13,38.60789108276367,41.084999084472656,41.1875,40.41249847412109,40.48749923706055,130196800,0.0100183235484991,37.79483947753906,39.791236623128256,39.635493345584834,0.0212350367874172,-1,0.4085259958857771,-0.0117381656039162,0.949828220608032,0,0.6414861006151297
2018-02-14,39.3197135925293,41.84249877929688,41.8849983215332,40.720001220703125,40.7599983215332,162579600,0.0184372284992124,37.80940246582031,39.75842170715332,46.5538582762823,0.0213323659056653,1,0.5237007598279456,0.0037175057849885,0.95097845544049,0,0.6517346886309265
2018-02-15,40.63999938964844,43.247501373291016,43.272499084472656,42.25,42.4474983215332,204588800,0.0335782150094297,37.94780464172364,39.769849904378255,52.20270774829352,0.0228418882702041,1,0.7343249917802785,0.0352563314575007,0.9541852617740448,0,0.5656857805047065
2018-02-16,40.5084342956543,43.10749816894531,43.70500183105469,42.942501068115234,43.09000015258789,160704400,-0.0032373301173732,38.24338302612305,39.77065366109212,55.54831985674719,0.0228346829749726,1,0.7358907348101295,0.0787103921678971,0.9615980504624392,0,0.5822171935811926
2018-02-20,40.37218475341797,42.962501525878906,43.56499862670898,42.85499954223633,43.01250076293945,135722000,-0.0033634857679736,38.61916007995605,39.75155080159505,56.03836747021109,0.0227832606609854,1,0.7324730864841511,0.1026309069497988,0.9715132944802356,0,0.583150529308787
2018-02-21,40.18894577026367,42.76750183105469,43.52999877929688,42.75249862670898,43.20750045776367,149886400,-0.0045387433024363,38.82359466552735,39.7314094543457,54.66066687268622,0.0227943843168717,1,0.7246132215801305,0.0535946335862089,0.9771512060285326,0,0.6162267986870777
2018-02-22,40.52487182617188,43.125,43.48749923706055,42.9275016784668,42.95000076293945,123967600,0.0083586680235032,39.14327812194824,39.722621790568034,55.6944229978454,0.0226183135771005,1,0.7889978856787373,0.0856416462985734,0.985415271135065,0,0.643876666585338
2018-02-23,41.22967147827149,43.875,43.91249847412109,43.3849983215332,43.41749954223633,135249600,0.0173917799203113,39.636156463623045,39.737639617919925,68.12586101266935,0.0225311741368578,1,0.8835723848460558,0.1357758357975886,0.9974461705508268,0,0.5747104011155899
2018-02-26,42.04487228393555,44.74250030517578,44.84749984741211,44.0525016784668,44.087501525878906,152648800,0.0197721877578791,40.16615257263184,39.77210973103841,77.09812386739154,0.0228910529414376,1,0.9627988397206996,0.1442366008759135,1.0099075167060074,0,0.44578529443343323
2018-02-27,41.90858840942383,44.59749984741211,45.119998931884766,44.540000915527344,44.775001525878906,155712400,-0.0032413910926253,40.53451728820801,39.787920252482095,71.81747304730911,0.0222812694234422,1,0.8919639249021994,0.0963676341924739,1.018764414701453,0,0.48193838633350033
2018-02-28,41.84516525268555,44.52999877929688,45.15499877929688,44.51250076293945,44.81499862670898,151128400,-0.0015133689571853,40.85824470520019,39.8086358388265,78.68765402069728,0.0222059120479934,1,0.8433769218545508,0.0838500648217779,1.0263663610735936,0,0.49343901231990406
2018-03-01,41.11220169067383,43.75,44.94499969482422,43.165000915527344,44.6349983215332,195208000,-0.0175160871652831,41.037493515014646,39.78222414652507,81.74208132269808,0.0227071055693198,1,0.7250519181041032,0.0455875166518278,1.0315535241032827,0,0.5509221154060402
2018-03-02,41.39646530151367,44.0525016784668,44.07500076293945,43.11249923706055,43.20000076293945,153816000,0.0069143368428339,41.11314010620117,39.76404050191243,81.34891844962611,0.0227263266574956,1,0.7421749739824594,0.0186138268510387,1.0339276287635772,0,0.5624665983963542
2018-03-05,41.53976821899414,44.20500183105469,44.435001373291016,43.630001068115234,43.8025016784668,113605600,0.0034617186862866,41.21627349853516,39.75687243143717,77.24989212459359,0.0199482295073983,1,0.7360233503674436,0.0254597330475072,1.036708145732912,0,0.5557532978636539
2018-03-06,41.50452423095703,44.16749954223633,44.5625,44.032501220703125,44.477500915527344,95154000,-0.0008484396891986,41.32950744628906,39.75991643269857,75.25588994221314,0.0187150990487066,1,0.7116350269387518,0.028047515497491,1.039476718122568,0,0.523219871400161
2018-03-07,41.11925506591797,43.75749969482422,43.962501525878906,43.567501068115234,43.73500061035156,126814000,-0.0092825823733139,41.422538375854494,39.74980583190918,66.63772264384251,0.0170496849224985,1,0.6406159493754425,0.023148387643018,1.0420815274172366,0,0.6113245932849078
2018-03-08,41.56796646118164,44.23500061035156,44.27999877929688,43.76750183105469,43.869998931884766,95096400,0.0109124397935795,41.52684783935547,39.776645787556966,60.227917736362485,0.0160258301480392,1,0.6845876872045643,0.0257396158952465,1.0440007450891198,0,0.5678575904062894
2018-03-09,42.28213882446289,44.994998931884766,45.0,44.34749984741211,44.4900016784668,128740800,0.0171808347648707,41.63209457397461,39.85154685974121,67.32455094461105,0.0141882591668007,1,0.7886662405803241,0.0255269399065201,1.0446795132068547,0,0.5797186675210836
2018-03-12,42.690914154052734,45.43000030517578,45.59749984741211,45.0525016784668,45.0724983215332,128828400,0.0096678016049969,41.69669876098633,39.936954243977866,71.50326630908135,0.0141571799186633,1,0.875726673284238,0.0153655329419095,1.0440630626526513,0,0.5655153793689088
2018-03-13,42.27979278564453,44.99250030517578,45.875,44.810001373291016,45.647499084472656,126774000,-0.0096301842336907,41.7338191986084,40.03634427388509,68.6036384322388,0.0123856644504036,1,0.7811844057229068,0.0088574774362295,1.04239834968725,0,0.5635548564448079
2018-03-14,41.92034149169922,44.61000061035156,45.130001068115234,44.45249938964844,45.08000183105469,117473600,-0.0085017279003164,41.741336822509766,40.13147366841634,62.36464644143,0.0126892475732213,1,0.6847345290718218,0.0017965334480032,1.040114728090845,0,0.5433164973558829
2018-03-15,41.96967697143555,44.66249847412109,45.060001373291016,44.51750183105469,44.625,90975200,0.0011768863988403,41.827084350585935,40.22466011047364,57.418574199509216,0.01224931979585,1,0.6892346448114793,0.0208569535441891,1.0398368621564824,0,0.5218683354989772
