Date,Adj Close,High,Low,Open,Volume,Return,SMA_10,SMA_30,RSI,Volatility,MACD_Signal,BB_Position,Momentum,Trend,Vol_Regime,ML_Signal
2018-02-13,38.644004821777344,41.1875,40.41249847412109,40.48749923706055,130196800,0.0100174270308512,37.83020782470703,39.82846997578939,39.635429498234366,0.0212350410556374,-1,0.4085241582590322,-0.0117382191005459,0.9498282973888516,0,0.6397171418544361
2018-02-14,39.35650634765625,41.8849983215332,40.720001220703125,40.7599983215332,162579600,0.0184375695315457,37.84478416442871,39.795624033610025,46.5538265297692,0.0213323746720028,1,0.5237007825774482,0.003717435229448,0.9509785330283124,0,0.6512039413519394
2018-02-15,40.67802810668945,43.272499084472656,42.25,42.4474983215332,204588800,0.0335782283965837,37.98331718444824,39.8070629119873,52.2027022634009,0.0228418952648455,1,0.7343257077916169,0.0352566831499332,0.9541853732949016,0,0.5799859114521821
2018-02-16,40.54634094238281,43.70500183105469,42.942501068115234,43.09000015258789,160704400,-0.0032373045212824,38.279171752929685,39.8078670501709,55.54838484250249,0.0228346871922605,1,0.7358917244982358,0.0787102745596324,0.9615981611043224,0,0.5835455998681582
2018-02-20,40.40996551513672,43.56499862670898,42.85499954223633,43.01250076293945,135722000,-0.0033634459750606,38.65529899597168,39.78874689737956,56.03844589311937,0.0227832583501376,1,0.7324740717797258,0.10263046547732,0.971513355162172,0,0.6016333740201937
2018-02-21,40.2265510559082,43.52999877929688,42.75249862670898,43.20750045776367,149886400,-0.0045388422605758,38.8599235534668,39.76858673095703,54.6606645290469,0.0227943827526772,1,0.7246133298084148,0.0535942693274615,0.9771512328653384,0,0.63867920516829
2018-02-22,40.56280517578125,43.48749923706055,42.9275016784668,42.95000076293945,123967600,0.0083590094364716,39.179907608032224,39.759791437784834,55.69454027008749,0.0226183207438976,1,0.789000084540944,0.0856420409175497,0.985415320131646,0,0.6502888468798987
2018-02-23,41.26824188232422,43.91249847412109,43.3849983215332,43.41749954223633,135249600,0.0173912209346942,39.67324638366699,39.77482337951661,68.12580055977656,0.0225311735569233,1,0.8835711235673805,0.1357756312779765,0.997446198695079,0,0.6310953951114565
2018-02-26,42.08420944213867,44.84749984741211,44.0525016784668,44.087501525878906,152648800,0.0197722879046113,40.20373840332032,39.809325536092125,77.09798641380831,0.0228910570353455,1,0.9627985897172012,0.1442366153708927,1.009907549598413,0,0.5124256283761882
2018-02-27,41.94781875610352,45.119998931884766,44.540000915527344,44.775001525878906,155712400,-0.0032408993264485,40.57244720458984,39.82515131632487,71.81750744789572,0.022281248651857,1,0.8919660761474458,0.0963674227087405,1.0187644205625064,0,0.5464156906228397
