Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,40.34188461303711,43.06499862670898,43.07500076293945,42.31499862670898,42.540000915527344,102223600
2018-01-03,40.33486175537109,43.057498931884766,43.63750076293945,42.9900016784668,43.13249969482422,118071600
2018-01-04,40.522216796875,43.25749969482422,43.36750030517578,43.02000045776367,43.1349983215332,89738400
2018-01-05,40.98357009887695,43.75,43.84249877929688,43.26250076293945,43.36000061035156,94640000
2018-01-08,40.831356048583984,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,82271200
2018-01-09,40.82666397094727,43.58250045776367,43.76499938964844,43.352500915527344,43.63750076293945,86336000
2018-01-10,40.81728363037109,43.5724983215332,43.57500076293945,43.25,43.290000915527344,95839600
2018-01-11,41.04914474487305,43.81999969482422,43.872501373291016,43.622501373291016,43.647499084472656,74670800
2018-01-12,41.47304534912109,44.272499084472656,44.34000015258789,43.91249847412109,44.04499816894531,101672400
2018-01-16,41.26226043701172,44.04750061035156,44.84749984741211,44.03499984741211,44.47499847412109,118263600
2018-01-17,41.94376373291016,44.775001525878906,44.8125,43.76750183105469,44.03749847412109,137547200
2018-01-18,41.981239318847656,44.81499862670898,45.025001525878906,44.5625,44.84249877929688,124773600
2018-01-19,41.79388427734375,44.6150016784668,44.89500045776367,44.352500915527344,44.65250015258789,129700400
2018-01-22,41.451942443847656,44.25,44.44499969482422,44.150001525878906,44.32500076293945,108434400
2018-01-23,41.46132278442383,44.2599983215332,44.86000061035156,44.20500183105469,44.32500076293945,130756400
2018-01-24,40.8009033203125,43.55500030517578,44.32500076293945,43.29999923706055,44.3125,204420400
2018-01-25,40.07257461547852,42.77750015258789,43.73749923706055,42.63249969482422,43.62749862670898,166116000
2018-01-26,40.16624450683594,42.87749862670898,43.0,42.51499938964844,43.0,156572000
2018-01-29,39.33485412597656,41.9900016784668,42.540000915527344,41.76750183105469,42.540000915527344,202561600
2018-01-30,39.103004455566406,41.74250030517578,41.84249877929688,41.17499923706055,41.38249969482422,184192800
2018-01-31,39.21074295043945,41.85749816894531,42.11000061035156,41.625,41.71749877929688,129915600
2018-02-01,39.29269790649414,41.94499969482422,42.15499877929688,41.68999862670898,41.79249954223633,188923200
2018-02-02,37.58779525756836,40.125,41.70000076293945,40.025001525878906,41.5,346375200
2018-02-05,36.6486930847168,39.122501373291016,40.970001220703125,39.0,39.775001525878906,290954000
2018-02-06,38.18030548095703,40.75749969482422,40.93000030517578,38.5,38.70750045776367,272975200
2018-02-07,37.36296463012695,39.8849983215332,40.84999847412109,39.76750183105469,40.772499084472656,206434400
2018-02-08,36.33485412597656,38.78749847412109,40.25,38.75749969482422,40.0724983215332,217562000
2018-02-09,36.77928924560547,39.102500915527344,39.47249984741211,37.560001373291016,39.26750183105469,282690400
2018-02-12,38.2607307434082,40.6775016784668,40.97249984741211,39.37749862670898,39.625,243278000
2018-02-13,38.644004821777344,41.084999084472656,41.1875,40.41249847412109,40.48749923706055,130196800
2018-02-14,39.35650634765625,41.84249877929688,41.8849983215332,40.720001220703125,40.7599983215332,162579600
2018-02-15,40.67802810668945,43.247501373291016,43.272499084472656,42.25,42.4474983215332,204588800
2018-02-16,40.54634094238281,43.10749816894531,43.70500183105469,42.942501068115234,43.09000015258789,160704400
2018-02-20,40.40996551513672,42.962501525878906,43.56499862670898,42.85499954223633,43.01250076293945,135722000
2018-02-21,40.2265510559082,42.76750183105469,43.52999877929688,42.75249862670898,43.20750045776367,149886400
2018-02-22,40.56280517578125,43.125,43.48749923706055,42.9275016784668,42.95000076293945,123967600
2018-02-23,41.26824188232422,43.875,43.91249847412109,43.3849983215332,43.41749954223633,135249600
2018-02-26,42.08420944213867,44.74250030517578,44.84749984741211,44.0525016784668,44.087501525878906,152648800
2018-02-27,41.94781875610352,44.59749984741211,45.119998931884766,44.540000915527344,44.775001525878906,155712400
2018-02-28,41.88432312011719,44.52999877929688,45.15499877929688,44.51250076293945,44.81499862670898,151128400
2018-03-01,41.150672912597656,43.75,44.94499969482422,43.165000915527344,44.6349983215332,195208000
2018-03-02,41.43520736694336,44.0525016784668,44.07500076293945,43.11249923706055,43.20000076293945,153816000
2018-03-05,41.5786361694336,44.20500183105469,44.435001373291016,43.630001068115234,43.8025016784668,113605600
2018-03-06,41.54335403442383,44.16749954223633,44.5625,44.032501220703125,44.477500915527344,95154000
2018-03-07,41.15772247314453,43.75749969482422,43.962501525878906,43.567501068115234,43.73500061035156,126814000
2018-03-08,41.60685348510742,44.23500061035156,44.27999877929688,43.76750183105469,43.869998931884766,95096400
2018-03-09,42.32169723510742,44.994998931884766,45.0,44.34749984741211,44.4900016784668,128740800
2018-03-12,42.73085021972656,45.43000030517578,45.59749984741211,45.0525016784668,45.0724983215332,128828400
2018-03-13,42.3193473815918,44.99250030517578,45.875,44.810001373291016,45.647499084472656,126774000
2018-03-14,41.959571838378906,44.61000061035156,45.130001068115234,44.45249938964844,45.08000183105469,117473600
2018-03-15,42.00894927978516,44.66249847412109,45.060001373291016,44.51750183105469,44.625,90975200
2018-03-16,41.86081314086914,44.505001068115234,44.77999877929688,44.40499877929688,44.66249847412109,157618800
2018-03-19,41.22120666503906,43.82500076293945,44.36750030517578,43.415000915527344,44.33000183105469,133787200
2018-03-20,41.20710372924805,43.810001373291016,44.20000076293945,43.73500061035156,43.810001373291016,78597600
2018-03-21,40.273582458496094,42.817501068115234,43.772499084472656,42.81499862670898,43.7599983215332,148219600
2018-03-22,39.70452499389648,42.212501525878906,43.16999816894531,42.150001525878906,42.5,165963200
2018-03-23,38.785099029541016,41.23500061035156,42.47999954223633,41.23500061035156,42.09749984741211,164115200
2018-03-26,40.62630081176758,43.192501068115234,43.275001525878906,41.61000061035156,42.01750183105469,150164800
2018-03-27,39.5845947265625,42.084999084472656,43.78749847412109,41.72999954223633,43.41999816894531,163690400
2018-03-28,39.14720916748047,41.619998931884766,42.505001068115234,41.29750061035156,41.8125,166674000
2018-03-29,39.45290756225586,41.94499969482422,42.9375,41.72499847412109,41.95249938964844,153594000
2018-04-02,39.194244384765625,41.66999816894531,42.23500061035156,41.11750030517578,41.65999984741211,150347200
2018-04-03,39.59635162353516,42.09749984741211,42.1875,41.220001220703125,41.90999984741211,121112000
2018-04-04,40.35351943969727,42.90250015258789,43.00249862670898,41.192501068115234,41.220001220703125,138422000
2018-04-05,40.63335800170898,43.20000076293945,43.557498931884766,43.02000045776367,43.14500045776367,107732800
2018-04-06,39.59401321411133,42.095001220703125,43.119998931884766,42.04999923706055,42.74250030517578,140021200
2018-04-09,39.9866943359375,42.51250076293945,43.272499084472656,42.462501525878906,42.470001220703125,116070800
2018-04-10,40.73917007446289,43.3125,43.5,42.88249969482422,43.25,113634400
2018-04-11,40.5486946105957,43.11000061035156,43.47999954223633,42.92499923706055,43.057498931884766,89726400
2018-04-12,40.94845581054688,43.53499984741211,43.75,43.2599983215332,43.352500915527344,91557200
2018-04-13,41.08717727661133,43.682498931884766,43.959999084472656,43.462501525878906,43.69499969482422,100497200
2018-04-16,41.3434944152832,43.95500183105469,44.04750061035156,43.70750045776367,43.75749969482422,86313600
2018-04-17,41.912540435791016,44.560001373291016,44.73500061035156,44.102500915527344,44.122501373291016,106421600
2018-04-18,41.818485260009766,44.459999084472656,44.70500183105469,44.220001220703125,44.45249938964844,83018000
2018-04-19,40.63335800170898,43.20000076293945,43.84749984741211,43.165000915527344,43.43999862670898,139235200
2018-04-20,38.968505859375,41.43000030517578,42.80500030517578,41.35749816894531,42.650001525878906,261964400
2018-04-23,38.85565185546875,41.310001373291016,41.72999954223633,41.022499084472656,41.70750045776367,146062000
2018-04-24,38.31479644775391,40.73500061035156,41.58250045776367,40.30500030517578,41.41749954223633,134768000
2018-04-25,38.48176193237305,40.91249847412109,41.35499954223633,40.602500915527344,40.65499877929688,113528400
2018-04-26,38.61578369140625,41.05500030517578,41.432498931884766,40.84249877929688,41.02999877929688,111852000
2018-04-27,38.16901016235352,40.58000183105469,41.08250045776367,40.157501220703125,41.0,142623200
2018-04-30,38.86033248901367,41.31499862670898,41.81499862670898,40.459999084472656,40.532501220703125,169709600
2018-05-01,39.763301849365234,42.275001525878906,42.29999923706055,41.317501068115234,41.602500915527344,214277600
2018-05-02,41.51985168457031,44.14250183105469,44.4375,43.45000076293945,43.807498931884766,266157600
2018-05-03,41.595096588134766,44.22249984741211,44.375,43.61000061035156,43.970001220703125,136272800
2018-05-04,43.227012634277344,45.95750045776367,46.0625,44.54249954223633,44.5625,224805200
2018-05-07,43.53975677490234,46.290000915527344,46.91749954223633,46.1875,46.29499816894531,169805600
2018-05-08,43.7490463256836,46.51250076293945,46.55500030517578,45.91749954223633,46.247501373291016,113611200
2018-05-09,44.05707550048828,46.84000015258789,46.84999847412109,46.30500030517578,46.63750076293945,92844800
2018-05-10,44.68727111816406,47.5099983215332,47.59249877929688,46.91249847412109,46.935001373291016,111957200
2018-05-11,44.51730728149414,47.147499084472656,47.51499938964844,46.86249923706055,47.372501373291016,104848800
2018-05-14,44.413455963134766,47.03749847412109,47.38249969482422,46.96500015258789,47.25249862670898,83115200
2018-05-15,44.00980758666992,46.61000061035156,46.76750183105469,46.275001525878906,46.69499969482422,94780800
